扫描速率（K/min）,时间（s）,贴身侧温度（℃）,界面12温度（℃）,界面23温度（℃）,外表面温度（℃）,平均固化进度
5.0,44.04999999999857,23.099733155826367,22.17609642166385,18.40894324107875,12.321799642237584,0.4110693610627171
5.0,44.07499999999857,23.097307911719916,22.173683713070755,18.405974890439783,12.319131844486941,0.41146739823167244
5.0,44.099999999998566,23.09488352744587,22.17127997173246,18.403011104351528,12.316464449027286,0.4118654321727872
5.0,44.124999999998565,23.092459999121733,22.168876812752618,18.40005054667943,12.313797453675063,0.41226345569664496
5.0,44.14999999999856,23.090037322756665,22.16647064377016,18.39709222808133,12.311130855992152,0.4126614581550809
5.0,44.17499999999856,23.08761549428331,22.164062360233316,18.39413079808544,12.308464654093994,0.41305942589262507
5.0,44.19999999999856,23.085194509609902,22.161652434051614,18.391168622986747,12.30579884696612,0.41345736831275787
5.0,44.22499999999856,23.082774364680088,22.15924146277418,18.38820642858924,12.303133434190855,0.41385529311976776
5.0,44.24999999999856,23.08035505552624,22.156830081509185,18.385244846142164,12.300468415408945,0.41425321597384823
5.0,44.274999999998556,23.07793657830489,22.15441838366646,18.38228434338749,12.29780378990524,0.41465112477367105
5.0,44.299999999998555,23.075518929308174,22.152006293419657,18.379325243401407,12.295139556536961,0.41504901560562
5.0,44.32499999999855,23.073102104951126,22.149593714308757,18.376365587634947,12.292475713899474,0.41544688863052687
5.0,44.34999999999855,23.070686101739014,22.14718070372237,18.37340037375376,12.289812260195589,0.41584473965881924
5.0,44.37499999999855,23.06827091622124,22.14476732517639,18.370439884845922,12.28714919288356,0.4162425730019539
5.0,44.39999999999855,23.06585654493919,22.14235781962817,18.367482683777492,12.2844865086708,0.4166404079885917
5.0,44.42499999999855,23.063442984375865,22.139949991061737,18.364526593167326,12.281824204074399,0.41703822120026324
5.0,44.449999999998546,23.061030230916067,22.137553996810958,18.361568363571905,12.27916227610092,0.41743601976586003
5.0,44.474999999998545,23.058618280826625,22.13515425102817,18.358610294386708,12.276500722578286,0.4178337986804565
5.0,44.49999999999854,23.056207130263356,22.132752008718978,18.35565233031999,12.273839542058703,0.4182315517052953
5.0,44.52499999999854,23.053796775305027,22.1303479054726,18.352694859201556,12.271178733499173,0.4186292879461746
5.0,44.54999999999854,23.05138721200656,22.1279422931504,18.34973829551025,12.26851829597788,0.4190270060910695
5.0,44.57499999999854,23.04897843645824,22.12553593039513,18.346782971657355,12.26585822861216,0.4194247160777163
5.0,44.59999999999854,23.04657044483685,22.12312919811675,18.343829127522618,12.263198530719277,0.41982241781575574
