温度（℃）,放热倍率,v=2有效比热（kJ/(kg·K)）,v=5有效比热（kJ/(kg·K)）,v=10有效比热（kJ/(kg·K)）,参考速率（K/min）,参考倍率
18.51,1.0,71.07455855614974,29.869823422459895,16.134911711229947,,
18.546,1.0,71.62116898395722,30.088467593582887,16.244233796791445,,
18.581,1.0,72.18397078877005,30.31358831550802,16.35679415775401,,
18.615,1.0,72.76326397058824,30.545305588235298,16.47265279411765,,
18.65,1.0,73.35846577540107,30.783386310160427,16.591693155080215,,
18.682,1.0,73.96924171122994,31.027696684491975,16.71384834224599,,
18.716,1.0,74.59503489304812,31.278013957219247,16.839006978609625,,
18.751,1.0,75.23553669786098,31.534214679144387,16.967107339572195,,
18.783,1.0,75.89011263368985,31.79604505347594,17.09802252673797,,
18.817,1.0,76.55760581550803,32.06304232620321,17.231521163101604,,
18.85,1.0,77.23739037433157,32.334956149732626,17.367478074866312,,
18.885,1.0,77.92889217914438,32.611556871657754,17.505778435828876,,
18.919,1.0,78.63088536096257,32.89235414438503,17.646177072192515,,
18.953,1.0,79.34277854278075,33.1771114171123,17.78855570855615,,
18.986,1.0,80.0627631016043,33.46510524064172,17.93255262032086,,
19.021,1.0,80.7905649064171,33.756225962566845,18.07811298128342,,
19.054,1.0,81.52434946524062,34.049739786096254,18.224869893048126,,
19.088,1.0,82.26324264705883,34.34529705882353,18.372648529411766,,
19.121,1.0,83.00602720588236,34.64241088235294,18.52120544117647,,
19.156,1.0,83.7515290106952,34.940611604278075,18.670305802139037,,
19.189,1.0,84.49821356951873,35.23928542780749,18.819642713903743,,
19.223,1.0,85.24520675133688,35.53808270053475,18.969041350267375,,
19.256,1.0,85.99099131016044,35.83639652406418,19.118198262032088,,
19.289,1.0,86.73407586898396,36.13363034759358,19.26681517379679,,
19.322,1.0,87.47326042780749,36.42930417112299,19.414652085561496,,
19.356,1.0,88.20765360962567,36.72306144385027,19.561530721925134,,
19.39,1.0,88.93574679144385,37.014298716577535,19.707149358288767,,
19.422,1.0,89.65602272727274,37.302409090909094,19.851204545454546,,
19.456,1.0,90.36731590909092,37.586926363636366,19.993463181818182,,
19.49,1.0,91.06900909090909,37.86760363636364,20.13380181818182,,
19.522,1.0,91.75928502673797,38.143714010695184,20.27185700534759,,
19.557,1.0,92.4375868315508,38.41503473262032,20.40751736631016,,
19.589,1.0,93.10236276737969,38.680945106951874,20.540472553475936,,
19.622,1.0,93.7530473262032,38.941218930481284,20.67060946524064,,
19.656,1.0,94.3881405080214,39.19525620320856,20.79762810160428,,
19.69,1.0,95.00703368983956,39.44281347593582,20.92140673796791,,
19.723,1.0,95.60911824866308,39.683647299465235,21.041823649732617,,
19.757,1.0,96.19321143048127,39.91728457219251,21.158642286096253,,
19.791,1.0,96.75870461229945,40.14348184491978,21.27174092245989,,
19.823,1.0,97.30498054812834,40.361992219251334,21.380996109625666,,
19.857,1.0,97.83117372994653,40.57246949197861,21.486234745989304,,
19.89,1.0,98.33695828877008,40.77478331550803,21.587391657754015,,
19.924,1.0,98.82205147058822,40.96882058823529,21.684410294117644,,
19.956,1.0,99.28552740641712,41.15421096256685,21.777105481283424,,
19.99,1.0,99.7271205882353,41.33084823529411,21.865424117647056,,
20.023,1.0,100.14650514705882,41.49860205882353,21.949301029411764,,
20.057,1.0,100.543698328877,41.6574793315508,22.0287396657754,,
20.089,1.0,100.9180742647059,41.80722970588236,22.103614852941178,,
20.123,1.0,101.26996744652406,41.94798697860963,22.173993489304813,,
20.154,1.0,101.5987347593583,42.07949390374332,22.23974695187166,,
20.188,1.0,101.90442794117648,42.201771176470594,22.300885588235296,,
20.222,1.0,102.18732112299465,42.31492844919786,22.357464224598928,,
20.256,1.0,102.44681430481283,42.418725721925135,22.409362860962567,,
20.287,1.0,102.68378161764706,42.513512647058825,22.45675632352941,,
20.322,1.0,102.8973834224599,42.598953368983956,22.499476684491977,,
20.354,1.0,103.08845935828876,42.67538374331551,22.537691871657753,,
20.388,1.0,103.25705254010695,42.74282101604278,22.57141050802139,,
20.421,1.0,103.40283709893048,42.80113483957219,22.600567419786096,,
20.455,1.0,103.52643028074867,42.85057211229947,22.625286056149733,,
20.489,1.0,103.62812346256685,42.89124938502674,22.64562469251337,,
20.521,1.0,103.70759939839571,42.92303975935828,22.66151987967914,,
