扫描速率（K/min）,潜热（kJ/kg）,时间（s）,贴身侧温度（℃）,界面12温度（℃）,功能层平均温度（℃）,界面23温度（℃）,外表面温度（℃）,固化进度
2.0,611.5637399999999,260.25,21.381330746615827,20.849928241568257,20.3154613886113,19.42995717919023,17.31205832645249,0.49468352420990086
2.0,611.5637399999999,260.5,21.377958764802248,20.846449508422563,20.311989917979684,19.42653522016146,17.308790081918687,0.4952533315551859
2.0,611.5637399999999,260.75,21.374586616338693,20.842970510745563,20.308518154119753,19.423112977742512,17.305521588016532,0.49582318705202955
2.0,611.5637399999999,261.0,21.37121429422022,20.839491247736092,20.305046097101414,19.419690451079262,17.30225284009093,0.49639309068344917
2.0,611.5637399999999,261.25,21.367841791753552,20.836011718603444,20.30157374697061,19.416267639358004,17.29898383422253,0.4969630424379693
2.0,611.5637399999999,261.5,21.364469102636225,20.832531922565597,20.29810110375367,19.412844541805118,17.295714567124023,0.49753304230804807
2.0,611.5637399999999,261.75,21.361096220980297,20.829051858849084,20.2946281674603,19.409421157688268,17.29244503602412,0.49810309028936406
2.0,611.5637399999999,262.0,21.357723141304984,20.825571526689544,20.291154938085842,19.405997486316554,17.289175238570685,0.49867318638032343
2.0,611.5637399999999,262.25,21.354349858515555,20.822090925332613,20.28768141561312,19.402573527039557,17.28590517275316,0.4992433305816907
2.0,611.5637399999999,262.5,21.35097636787743,20.81861005403494,20.28420760001391,19.399149279245613,17.282634836840717,0.4998135228962856
2.0,611.5637399999999,262.75,21.34760266498349,20.815128785629767,20.280733346872687,19.395724620075594,17.279364228424814,0.5003827346794647
2.0,611.5637399999999,263.0,21.344228745101532,20.81164708766722,20.277258621742707,19.392299518049267,17.276093333709117,0.5009517671094833
2.0,611.5637399999999,263.25,21.340854600651298,20.808164958864804,20.273783425253118,19.388873971794453,17.2728221292145,0.5015208768444356
2.0,611.5637399999999,263.5,21.337480220683876,20.8046823981887,20.27030775780613,19.385447980031138,17.26955059196409,0.5020900637812763
2.0,611.5637399999999,263.75,21.334105592482224,20.801199404682503,20.26683161968456,19.382021541380574,17.26627870276585,0.5026593278541295
2.0,611.5637399999999,264.0,21.330730702979466,20.797715977416463,20.263355011086066,19.378594654388287,17.26300644600123,0.5032286690166737
2.0,611.5637399999999,264.25,21.327355539492366,20.79423211546275,20.259877932142132,19.37516731757584,17.259733808957957,0.5037980872365352
2.0,611.5637399999999,264.5,21.323980090030506,20.79074781788322,20.25640038293074,19.37173952948221,17.256460781236907,0.5043675824921792
2.0,611.5637399999999,264.75,21.320604343397875,20.787263083724913,20.252922363485563,19.368311288690546,17.253187354279298,0.5049371547708332
2.0,611.5637399999999,265.0,21.317228289199992,20.78377791310478,20.249443875041685,19.364882594892453,17.249913521003716,0.5055055548718069
2.0,611.5637399999999,265.25,21.313851917815448,20.780292305191992,20.245964917717878,19.36145344694352,17.24663927560588,0.5060738690844662
2.0,611.5637399999999,265.5,21.3104752203671,20.776806259002957,20.242485491446672,19.358023843629194,17.243364613304568,0.5066422599025624
2.0,611.5637399999999,265.75,21.307098188670032,20.77331977354824,20.239005596138483,19.35459378380344,17.240089530077125,0.5072107273371189
2.0,611.5637399999999,266.0,21.30372081516438,20.76983284783744,20.235525231683976,19.351163266387207,17.236814022496237,0.507779271402772
2.0,611.5637399999999,266.25,21.300343092854167,20.766345480882936,20.23204439795635,19.34773229036449,17.233538087617976,0.5083478921173848
2.0,611.5637399999999,266.5,21.296965015255093,20.762857671703042,20.22856309481334,19.34430085477777,17.230261722895158,0.5089165895016738
2.0,611.5637399999999,266.75,21.29358657634933,20.75936941932457,20.22508132209891,19.340868958723377,17.22698492610799,0.5094853635788827
2.0,611.5637399999999,267.0,21.290207770545436,20.755880722784923,20.221599079644765,19.337436601347036,17.223707695308118,0.510054214374504
2.0,611.5637399999999,267.25,21.2868285926421,20.752391572972652,20.21811635794882,19.334003773945945,17.220430028714635,0.5106229641310219
