温度（℃）,原始放热功率（W/kg）,端点线性基线（W/kg）,校正放热功率（W/kg）,固化进度
18.919,2943.4900000000002,402.46048796791445,2541.0295120320857,0.7012740092941686
18.953,2967.21,402.4507152406417,2564.7592847593583,0.6970161501111445
18.986,2991.2000000000003,402.44122994652406,2588.7587700534764,0.6928448899950159
19.021,3015.45,402.4311697860963,2613.0188302139036,0.6883793975834802
19.054,3039.8999999999996,402.4216844919786,2637.478315508021,0.6841296425421951
19.088,3064.52,402.4119117647059,2662.108088235294,0.6797101701485092
19.121,3089.27,402.40242647058824,2686.867573529412,0.6753807065466068
19.156,3114.11,402.39236631016047,2711.7176336898397,0.6707462636448903
19.189,3138.9900000000002,402.3828810160428,2736.6071189839577,0.6663363868386336
19.223,3163.8799999999997,402.3731082887701,2761.5068917112294,0.6617513567558257
19.256,3188.73,402.3636229946524,2786.3663770053477,0.6572609053304114
19.289,3213.4900000000002,402.35413770053475,2811.1358622994653,0.6527302841911398
19.322,3238.12,402.34465240641714,2835.775347593583,0.6481596714061227
19.356,3262.5899999999997,402.3348796791444,2860.2551203208554,0.6434095932889398
19.39,3286.85,402.32510695187165,2884.5248930481284,0.6386188615709049
19.422,3310.85,402.3159090909091,2908.534090909091,0.6340720447300314
19.456,3334.55,402.30613636363637,2932.243863636364,0.6292012576607751
19.49,3357.9300000000003,402.29636363636365,2955.6336363636365,0.6242911929715247
19.522,3380.9300000000003,402.2871657754011,2978.642834224599,0.619633538307626
19.557,3403.5299999999997,402.27710561497327,3001.2528943850266,0.6145000664351437
19.589,3425.68,402.2679077540107,3023.4120922459892,0.6097714682458807
19.622,3447.36,402.25842245989304,3045.101577540107,0.6048596102169135
19.656,3468.52,402.2486497326203,3066.2713502673796,0.5997631664787977
19.69,3489.14,402.2388770053476,3086.9011229946523,0.5946318649379904
19.723,3509.2,402.22939171122994,3106.9706082887697,0.5896185420307412
19.757,3528.66,402.2196189839572,3126.4403810160425,0.5844203273613336
19.791,3547.5,402.2098462566845,3145.2901537433154,0.5791901569579556
