temperature_C,dsc_raw_mW_per_mg,exothermic_power_raw_W_per_kg,endpoint_linear_baseline_W_per_kg,exothermic_power_corrected_W_per_kg,solidification_progress_raw,solidification_progress_corrected,normalized_capacity_weight_per_C
24.201,-1.21009,1210.0900000000001,400.9422660427808,809.1477339572193,0.05077749223947499,0.02705199541261879,0.03969239906001716
24.233,-1.18325,1183.25,400.9330681818182,782.3169318181817,0.04925780693054509,0.025802897420687164,0.03837622543570921
24.268,-1.15688,1156.8799999999999,400.9230080213904,755.9569919786095,0.04763260505041216,0.02448235835472927,0.03708314976188465
24.3,-1.13098,1130.98,400.91381016042783,730.0661898395722,0.0461798957692869,0.02331601855951393,0.03581308743907408
24.335,-1.10556,1105.5600000000002,400.90375,704.6562500000002,0.04462663632942993,0.022084373791111247,0.03456661361250752
24.369,-1.08063,1080.6299999999999,400.8939772727273,679.7360227272726,0.04315172433317159,0.020929890598417572,0.03334416242829926
24.402,-1.05618,1056.1799999999998,400.8844919786096,655.2955080213902,0.04175252646476172,0.019849315403229227,0.03214524334068875
24.435,-1.03221,1032.21,400.875006684492,631.334993315508,0.0403850343450093,0.018807916025689743,0.030969870449587544
24.469,-1.00874,1008.74,400.8652339572193,607.8747660427807,0.03900810844251969,0.0177745045659574,0.029819038946428417
24.503,-0.98577,985.77,400.8554612299465,584.9145387700535,0.03766251326293456,0.01677980441343605,0.028692734731299806
24.537,-0.96328,963.28,400.8456885026738,562.4343114973262,0.036347587649741143,0.015822998318888417,0.027589976712680493
24.569,-0.94128,941.28,400.83649064171124,540.4435093582888,0.035138260160970006,0.0149573790557014,0.026511227236507947
24.604,-0.91978,919.7800000000001,400.82643048128347,518.9535695187167,0.033845768628003814,0.014047934250470748,0.025457047348100628
24.637,-0.89876,898.76,400.8169451871658,497.9430548128342,0.03265497614218707,0.013224857609196795,0.024426385456379457
24.671,-0.87823,878.2299999999999,400.8071724598931,477.4228275401068,0.03145613072242433,0.012411472891522096,0.02341977440683976
24.703,-0.85819,858.19,400.7979745989305,457.39202540106953,0.030353566120599244,0.01167776175061671,0.022437171899746845
